Metric,Naukasana_Stability-l,Santolanasana_Stability-l,Gorakshasana_Stability-l,Trikonasana_Stability-l,Trikonasana_Stability-r,Utkatasana_Stability-l,Tuladandasana_Stability-l,Tuladandasana_Stability-r,Natarajasana_Stability-l,Natarajasana_Stability-r,Garudasana_Stability-l,Garudasana_Stability-r,Natavarasana_Stability-l,Natavarasana_Stability-r,Vrikshasana_Stability-l,Vrikshasana_Stability-r,Pranamasana_Stability-l,Pranamasana_Stability-r,Virabhadrasana_Stability-l,Virabhadrasana_Stability-r,Ardhachakrasana_Stability-l,Tadasana_Stability-l,Katichakrasana_Stability-l,Katichakrasana_Stability-r,Padahastasana_Stability-l,ParivrttaTrikonasana_Stability-l,ParivrttaTrikonasana_Stability-r,TriyakTadasana_Stability-l,TriyakTadasana_Stability-r,Still_Stability-l,simon_mean_2_100,simon_mean_2_-50,simon_mean_2_0,simon_mean_1_0,simon_mean_1_-200,simon_mean_1_200,simon_mean_1_-50,simon_mean_1_-100,simon_mean_1_100,simon_mean_2_200,simon_mean_2_-100,simon_mean_2_50,simon_mean_1_50,simon_mean_2_-200,simon_mean_2_mean,simon_mean_1_mean,simon_mean_mean_mean,iowa_hunch_repeated_1,iowa_hunch_gain_1,iowa_hunch_repeated_2,iowa_hunch_gain_2,iowa_hunch_repeated_3,iowa_hunch_gain_3,iowa_hunch_repeated_4,iowa_hunch_gain_4,iowa_hunch_repeated_top,iowa_hunch_gain_top,iowa_hunch_repeated_bottom,iowa_hunch_gain_bottom,iowa_net_gain,iowa_hunch_gain,dspan_3_digit_min_response_time-forward,dspan_4_digit_min_response_time-forward,dspan_5_digit_min_response_time-forward,dspan_6_digit_min_response_time-forward,dspan_largest_no_of_digits,dspan_7_digit_min_response_time-forward,dspan_8_digit_min_response_time-forward,dspan_9_digit_min_response_time-forward,dspan_10_digit_min_response_time-forward,toh_total_time,toh_total_steps,toh_time_per_step,toh_trial-1_total_steps,toh_trial-1_excess_steps,toh_trial-1_absolute_time,toh_trial-1_perStep_time,toh_trial-2_total_steps,toh_trial-2_excess_steps,toh_trial-2_absolute_time,toh_trial-2_perStep_time,toh_trial-3_total_steps,toh_trial-3_excess_steps,toh_trial-3_absolute_time,toh_trial-3_perStep_time,toh_trial-4_total_steps,toh_trial-4_excess_steps,toh_trial-4_absolute_time,toh_trial-4_perStep_time,toh_trial-5_total_steps,toh_trial-5_excess_steps,toh_trial-5_absolute_time,toh_trial-5_perStep_time,toh_trial-6_total_steps,toh_trial-6_excess_steps,toh_trial-6_absolute_time,toh_trial-6_perStep_time,toh_trial-7_total_steps,toh_trial-7_excess_steps,toh_trial-7_absolute_time,toh_trial-7_perStep_time,toh_trial-8_total_steps,toh_trial-8_excess_steps,toh_trial-8_absolute_time,toh_trial-8_perStep_time,toh_trial-9_total_steps,toh_trial-9_excess_steps,toh_trial-9_absolute_time,toh_trial-9_perStep_time,toh_trial-10_total_steps,toh_trial-10_excess_steps,toh_trial-10_absolute_time,toh_trial-10_perStep_time
Naukasana_Stability-l,1.0,0.51908175255684741,0.21180094377557993,0.59963236140521248,-0.054699929079508464,-0.18379801253924019,0.088721412492582793,0.088721412492582793,-0.23631163901960175,0.063080433266721109,-0.10302332093041666,-0.017812078725401997,0.43234443761533087,0.03804474481857345,0.037127117465203731,0.17453714753154148,0.0025848179982408447,0.22195924682017973,0.063138512818628881,0.079254408316221783,0.12701792874098655,0.53900379723707958,-0.097254197377702134,-0.22667429360432462,0.58733794930325756,0.34143418211336035,-0.14955454092070916,-0.019499871235835957,-0.06696138194806249,-0.10710176168717454,-0.22158965722632135,-0.22126335618083523,-0.2163377113036718,-0.1446386645072113,-0.31992369746197763,-0.19985832633677397,0.16566368577392862,-0.22056536414008451,-0.25056538062246536,-0.36947175076621414,-0.18235424763421623,-0.22163539764092208,-0.020926975342985026,-0.20523631439284828,-0.26911882804934595,-0.1980080423825884,-0.24263862508948061,-0.022432242889028588,-0.049462727360325372,-0.19296095296846608,-0.0079564864669242012,0.22599062921602925,-0.061370822300842807,0.019163810283884208,-0.040993781349618313,-0.17087937279139259,-0.073975418202302703,0.17087937279139259,-0.067091642730960133,-0.0011914238171116507,-0.028871636262412431,-0.18576995834296559,-0.37482529931584713,-0.38706468232926605,-0.084564798669676838,0.035383316371552134,0.10046303981592372,-0.34572305591678826,-0.1158640949593648,-0.080955879594000121,0.066557809173856938,-0.030724756069280889,0.16904094109476395,-0.085643951884004546,-0.099472852025184522,-0.057194212180453737,0.052577630170153905,-0.11044071014203007,-0.15232395536252072,-0.035959069713548682,-0.080251982831530247,-0.29866171924310292,-0.28053762612356326,-0.24483749189136778,0.0080351249467344021,-0.12701780586050221,-0.18325407312705883,-0.06935529249128683,0.047337965693745342,-0.11539518259599464,0.030804500421906741,0.1059561329860942,0.56283479678594783,-0.080649854587879446,-0.055539735820222626,0.033896154150524979,0.091956998731558909,0.089975927607560638,-0.17073594468625808,0.15291241879542855,-0.17262571750942021,0.12003218440296944,0.16171359100451799,0.21659415717173638,0.58174062890606637,0.52776521458082382,0.53076554382213281,0.52002718424086869,0.12370873312224874,-0.25477609220825342,-0.14604697404065417,0.022866558702875548,0.6376502523639116
Santolanasana_Stability-l,0.51908175255684741,1.0000000000000002,0.63308597717792758,0.38691194208300528,-0.12847802719091508,-0.15431979925092451,-0.026740342839066931,-0.026740342839066931,-0.060101520938110949,-0.012161429488685396,0.0049708693435578767,0.29631182186377603,0.19166978228885154,-0.070762390988883664,-0.083632397899569166,0.058538048930238867,-0.13587661687420924,0.40885395297946647,0.077908693535216247,0.14163666239846082,-0.062637923680088636,0.58528322175451786,-0.097938268873423648,-0.012406078039118158,0.58726470833421296,0.2767527169942674,-0.062462295631486364,-0.0048790217784462639,-0.065235893651356014,-0.076437061107422752,-0.088067022445182719,0.1540415574170928,-0.045502511254436474,0.15744137310460551,-0.072568314789919861,-0.049622491713485151,0.48522661297541653,-0.054632597566438894,0.098642041320662635,-0.18502487373004048,-0.092964236713495532,-0.097576016835852791,0.47877913456985516,0.11434627321057218,-0.030652495429868237,0.1937850050708208,0.087293252458466239,-0.22137209456297774,-0.24935916247192241,0.084226989100943048,0.10825956973621406,0.46250291095611812,-0.41380862638478666,-0.055102151482042269,-0.23275624500166089,-0.24827813389498649,-0.18430877460613362,0.24827813389498649,-0.4264275614465437,-0.31779754338062061,-0.47805314271821064,0.22100541506268459,0.10235873218589156,0.049719510677825714,0.11864199457198631,-0.28249293899634242,0.65055062690263588,0.34461303983474523,0.0018623700795655934,0.85922670422662828,0.25781698228307481,0.4125970549464959,0.040980514333998123,0.031965118975112325,0.021956940133211252,0.096334608425668586,0.050468223373115136,0.090675672237996066,0.040422672356147701,0.065276287682125081,-0.098200832696819396,-0.11300748482192741,-0.14449988047119008,-0.14759133390918874,-0.17003731726441984,-0.01841821905220779,0.029441379539434955,0.015938777188061623,0.17244272905086941,-0.075346743814036152,0.087204020217780953,0.061830270077182718,0.35140782359081835,-0.093317665065049349,-0.057059993295114478,-0.10349297784480009,-0.1970986242171959,0.12525264283944393,-0.059586663477074732,0.28338585661776799,0.16241309408744276,0.51902660863927197,0.52243926130520801,0.072657203836428166,-0.093036252070581846,0.84031060440784611,0.90141598117463517,0.81233058274643621,0.108415919044573,-0.23160433780268225,-0.1174040573416455,-0.054358061211727621,0.77028400052851098
Gorakshasana_Stability-l,0.21180094377557993,0.63308597717792758,1.0000000000000002,0.071758925904343018,0.037630213498383719,-0.077229005199323159,0.24624412030952403,0.24624412030952403,0.078356063548297133,-0.23393273262954856,-0.10648492676375983,0.34032573018532292,0.15108299976603332,-0.1519212920296277,-0.22697169192253283,-0.29906998757962616,-0.059275609023546061,0.21697462573773832,-0.058687520451333713,0.12583385670921976,-0.09698323842445046,0.5296976494881519,0.24485178330806084,0.53110072847106249,0.32178247447067498,0.31024408697955624,0.033362336487111656,0.60415142918301301,-0.21404415006341407,0.045649881184028851,0.23826919174661296,0.39295832816088078,0.16393355480152902,0.23856383866981656,-0.047410693830688772,0.077498699287906689,0.4149594441784305,0.10882738285707313,0.26682662912134025,-0.16192049950776366,0.13948541894510683,0.091995976679605102,0.35210494394965902,0.15381827943052531,0.21255240246083359,0.29064528235265902,0.26288073039389881,-0.30586308978738297,-0.33697407899097698,0.2319090890429934,0.16625574626198253,0.31549546843850784,-0.62455970509540093,0.10474559148868313,0.026095691178069758,-0.26661443571104632,-0.22861476912219614,0.26661443571104632,-0.44686437106423882,-0.34576652718349576,-0.46771479003735084,0.14576725735109383,-0.061718910041246348,0.13391479520557117,0.14797907041950487,-0.34852582967562779,0.59647394903803064,0.21601053974542575,-0.20047411207741242,-0.13652602588057747,-0.065547810088355321,-0.030031897513872398,0.035537268635865059,-0.11029479882767321,-0.10306724976596264,-0.075278242415340493,-0.04828675046342569,-0.10707529817562758,-0.096850825071336091,-0.081923610568497979,0.36189449192955281,-0.13834612417103406,-0.15585460609637369,-0.072959806950561562,0.069370353696689077,-0.17491909366336333,-0.10985407329166516,-0.12176977993765806,0.40940550235787404,-0.0098428059537172749,-0.060390086269694193,0.064389440441864315,0.23362301860500398,-0.20973995754292876,-0.28885226302225986,-0.25606088852196013,-0.32603851182542876,-0.17671893324136426,-0.19846016548592232,0.068131782317001399,0.48989281480410274,0.4954889903883819,0.34060463776048899,0.038083410864167173,-0.18531817980692034,0.55361682644401344,0.63110627034168376,0.47803437854448932,0.051557016825745955,-0.32433273909587673,-0.25384929432215453,-0.26969667816562365,0.54773245507759283
Trikonasana_Stability-l,0.59963236140521248,0.38691194208300528,0.071758925904343018,1.0000000000000002,0.070414340885308416,0.019292762918747642,0.43036604352410923,0.43036604352410923,-0.021646484310206209,0.15004980144130861,-0.15412106760126709,0.28055433802407204,0.17798205331486669,-0.066070650088768279,0.1866863007413942,0.13774635006358632,0.1246528964166012,0.33967118484673875,0.48718591272937967,0.046114290440921045,0.11561885325720697,0.54653652979468093,-0.0011254628382388267,-0.049186075237555346,0.68418413538495471,0.21156513961523518,-0.018811424137781529,0.20723924254259557,0.1080950446295811,-0.18038806507677582,-0.090586493850087962,-0.11120659447211372,0.030086338042243338,0.011847023101839837,-0.060164802493912206,-0.060618380021181403,0.053068261106344446,0.0041436940716585652,-0.026182656185697657,0.019243713471875836,-0.10340768161703434,-0.08394216366196941,0.10440701118051096,-0.18920667999961208,-0.10188617537684366,-9.4610339471437523e-05,-0.052012452383344454,0.015082567491536221,-0.062617317857066868,-0.040368251467129274,-0.069713252673091919,0.10334408453310126,0.19197662742086935,-0.081495233024847721,-0.13196023539969604,-0.0061171294989917826,-0.1661751110469091,0.0061171294989917826,0.068793787142678822,0.042678067765191306,-0.042588334163056858,0.048535071874172213,-0.19241270900329355,-0.1841870604667358,0.19633653774535711,-0.23480849873859841,-0.10479037813756738,-0.36800219980554588,-0.18051785076605309,-0.41272663752634275,0.35302031145282287,0.21257894128209351,0.26812500684105778,-0.27470099951562954,-0.25431068592195183,-0.22210410907006084,0.52100867491009795,0.47637916872953007,0.47041480071645309,0.54155467252891953,0.13093841385753952,-0.20248190194058119,-0.19653409002202776,-0.15950783113754394,-0.034967589847163208,0.26410665733187,0.28130177638928205,0.34381936254457829,0.072596696526421076,0.19467429805080641,0.24231869329234951,0.25435102036615315,0.10753447229388755,0.031886438512048025,-0.1308626398407858,-0.0072754905776402611,-0.089138433971281392,0.053306536614533509,-0.16924170864446789,0.16894835415643722,0.031556433575397183,-0.01844431395592705,0.020668553045383162,-0.11417801051071357,0.24259100791190369,0.32640247940469852,0.31657120303762643,0.2662685518953824,-0.14076113059127254,-0.2706953643441134,-0.19303131944538535,-0.12902405567894987,0.45607243023881827
Trikonasana_Stability-r,-0.054699929079508464,-0.12847802719091508,0.037630213498383719,0.070414340885308416,1.0000000000000002,-0.25271458491372084,-0.071104628089732794,-0.071104628089732794,0.097445168998676293,-0.093998357344666744,-0.19510919003562238,0.30747493294572181,0.044405764254547099,-0.040504669625463799,0.11170277973320353,-0.048339263131685392,-0.091795766924610819,0.37534605517955322,-0.0059109727296900389,-0.036166708570885532,-0.043272982650657585,0.17466804678849987,0.21794257464501596,0.12902351198270301,0.2629454465251716,0.072323225007553019,0.15981563269775176,0.37423719810447131,0.12359708655800891,0.022009033025394979,-0.090397490426697494,0.39387834458096732,0.25172347166891001,0.37864869909344412,0.25260825607817422,0.21452530068218026,-0.0080128406644710565,0.010396956114778824,0.48193362847402665,0.16166786350228476,0.26883733943256749,0.20518558864893233,0.0019742884300853313,0.22643899440117043,0.20023493169912793,0.33017869331130073,0.27761088140545115,0.11577469629045153,0.10540423161612175,-0.0036193663356371081,0.27494249728005099,-0.011859156306906284,0.032651514236483659,-0.21345325312857139,-0.052825165643480283,0.15695675976480075,0.47348010612048452,-0.15695675976480075,-0.0051064218790680699,0.083204216920320706,0.16111163349584817,0.1964754616975464,-0.13758362104419877,0.32933611310788824,0.19709000513960329,-0.33065103850435684,-0.077836433002500469,-0.10614776328208204,0.30391316674347463,-0.65042215046966234,0.16055360475135455,0.22933025917193101,0.030423843908255681,0.27131041495920444,0.30960313180681337,0.22566531386467736,-0.021598695371838065,0.21323997847298787,0.17437519370957474,0.1039496901802375,0.075503811508511029,0.13902697358901178,0.078756849706699661,0.074342950564001836,-0.21735492567827727,0.0021188696419580967,0.109832714308272,-4.7090817207427303e-05,-0.0029829065304581349,0.42276583339261414,0.33398848247713536,0.33378229163483825,-0.28087244588540072,0.099768654053564054,0.16535348744474274,0.3069360143281471,0.33130073190741016,0.25198807678224994,0.23243682421581688,0.29710491823826179,0.016321859025247437,-0.22959868447070508,-0.12277067514948452,-0.20033233545758056,-0.018493817440048285,-0.36659836800064866,-0.29835066068823879,-0.4064457886031948,-0.15846217897285528,-0.042474180270006885,0.088078660002625708,-0.10957642096244301,-0.0567525339428014
Utkatasana_Stability-l,-0.18379801253924019,-0.15431979925092451,-0.077229005199323159,0.019292762918747642,-0.25271458491372084,1.0,-0.11136103633503547,-0.11136103633503547,-0.12329012514427415,-0.012250990127710686,0.12220537480888773,0.093937573589160217,-0.42729043974853248,-0.14194569159641274,0.24594177692001254,-0.13173155289247043,-0.20380108864020746,-0.10713895455689847,-0.20144942646225641,0.12778758060403983,-0.070755952914997616,-0.17955406948280078,-0.25046917562689902,-0.098201052185121276,-0.18766930341053223,0.18406929392391849,0.47838728143114134,-0.11229855720368645,-0.26109834913839158,0.028267304417822554,0.27033863273308567,-0.21013961993003735,0.071698710027234255,-0.23070665117554409,-0.0036679551788874232,0.2101445173197424,-0.21276415888981992,0.20840642626139039,-0.24855404240702059,0.13479710229150271,0.064057471923809561,0.043713493528045155,0.086807353379964647,-0.051484088534272845,0.069539293015198803,-0.11703959367298776,-0.027413203121854,0.18703792652884907,0.10387533336701892,-0.044414983737279208,-0.16559762288990193,-0.15844873638260279,-0.022187380091360686,-0.18656115958326822,0.2902389787499764,0.22783792065448169,-0.07014905006567751,-0.22783792065448169,0.14628843665124233,0.23650158531397228,0.12810979921426724,0.040644396078511766,-0.27797339878130167,-0.32527849981641638,-0.2139907610632851,0.12419581537069632,-0.10104900935232645,-0.21008916899346489,-0.40215395649208724,-0.46909640960878524,-0.21675547030857417,-0.029369461539402047,-0.34697988021545967,-0.1100248929560789,-0.15071420249531628,-0.17569433632533293,-0.16529781238763411,-0.1306244349472542,-0.12446331007530546,-0.1299649512668912,-0.088424570137504183,-0.099751189968543888,-0.058605304254741676,-0.079447509033455987,-0.15951370726474073,0.17932951715010317,0.177932838925206,0.12835181311766078,-0.1834537799150629,0.35629965944513747,0.17409406024813634,0.29744495736210913,-0.2510711147974416,0.0046640972602045487,-0.24262217428102717,-0.10739986808122674,-0.11534858094982119,-0.0039363504555823409,0.16971440089499487,0.0032451070961528245,0.30092052212716769,-0.067219118838643149,-0.014036314566205672,-0.19339566165177502,-0.058670962857241681,0.14875227381711528,0.080542600733074704,-0.03102695486847961,-0.37172817213915643,-0.076467439096451692,-0.23850192670435166,-0.19255212656566417,-0.24079098150361478
Tuladandasana_Stability-l,0.088721412492582793,-0.026740342839066931,0.24624412030952403,0.43036604352410923,-0.071104628089732794,-0.11136103633503547,1.0,1.0,0.0425303102425258,-0.10394589681617038,-0.27372352682982531,0.095565934526270643,0.1235797938416949,-0.18719277347854457,-0.04858257965326853,-0.094164082612244862,0.35194120904392212,-0.052594514018748213,0.35838710432909776,-0.027376457673001512,-0.018150543133789127,0.21518760900596098,0.19978701468710922,0.53718968738010187,-0.01566430534855201,0.12099834765101637,-0.22145212950880958,0.53939833498353329,0.08365479704615468,0.19551475283967318,0.010259704556933097,-0.17077348435915418,0.11535490070141122,-0.19144900032597584,0.0040371745080667364,0.10471999456400148,-0.12920773684542694,-0.018995585110626812,-0.14866382744144868,0.0072023291621358841,-0.092071005633516612,-0.002089734379589819,-0.12112229057467819,-0.32498913616914116,-0.083487371896628679,-0.125408722834537,-0.10954211328824237,-0.13389810113926304,-0.16219591310749445,0.22848639433854404,-0.061966333758998987,-0.095330878777456093,0.031629646557666868,0.16477002542358116,-0.23070346051261237,-0.030140904860244982,-0.29395992104076973,0.030140904860244982,-0.093993663537886213,-0.03514889795156205,-0.10217008089881709,-0.20819848540691097,-0.13371483834027617,-0.25416016872329023,-0.043141252769502321,-0.1021466409318733,-0.16078017217101329,-0.22447408145624587,-0.25838144919179384,-0.11296456648589186,-0.09927599929267282,-0.27781761455597276,0.072869911481879393,-0.16304040478196746,-0.11710871730777957,-0.17443216625001109,0.22818230249142857,-0.08120458535387573,-0.021362489531962587,0.072509341695464094,0.46448433923627713,-0.092549446734356111,-0.12904731218188775,0.13632886455329488,0.41035167136474493,-0.02003381291934047,-0.066219389810185991,0.0061611720027946876,0.084427758078819401,-0.0018201739249634843,-0.17329446004763849,-0.040646782339969163,-0.13157246787980059,-0.095026783315970545,-0.21761512191789978,-0.10786582362311381,-0.16935972853261896,-0.41884052151382339,-0.37497413452300449,-0.31241745958021011,0.22283815644666707,0.13009594656420539,0.063896026693742905,-0.15114448746905162,-0.23389874964180207,0.092907708698840782,0.079632088908750634,0.0055747217104346221,-0.15998446051785892,-0.26059758472755912,-0.27963502678315438,-0.37055595987236511,-0.10675647458029602
Tuladandasana_Stability-r,0.088721412492582793,-0.026740342839066931,0.24624412030952403,0.43036604352410923,-0.071104628089732794,-0.11136103633503547,1.0,1.0,0.0425303102425258,-0.10394589681617038,-0.27372352682982531,0.095565934526270643,0.1235797938416949,-0.18719277347854457,-0.04858257965326853,-0.094164082612244862,0.35194120904392212,-0.052594514018748213,0.35838710432909776,-0.027376457673001512,-0.018150543133789127,0.21518760900596098,0.19978701468710922,0.53718968738010187,-0.01566430534855201,0.12099834765101637,-0.22145212950880958,0.53939833498353329,0.08365479704615468,0.19551475283967318,0.010259704556933097,-0.17077348435915418,0.11535490070141122,-0.19144900032597584,0.0040371745080667364,0.10471999456400148,-0.12920773684542694,-0.018995585110626812,-0.14866382744144868,0.0072023291621358841,-0.092071005633516612,-0.002089734379589819,-0.12112229057467819,-0.32498913616914116,-0.083487371896628679,-0.125408722834537,-0.10954211328824237,-0.13389810113926304,-0.16219591310749445,0.22848639433854404,-0.061966333758998987,-0.095330878777456093,0.031629646557666868,0.16477002542358116,-0.23070346051261237,-0.030140904860244982,-0.29395992104076973,0.030140904860244982,-0.093993663537886213,-0.03514889795156205,-0.10217008089881709,-0.20819848540691097,-0.13371483834027617,-0.25416016872329023,-0.043141252769502321,-0.1021466409318733,-0.16078017217101329,-0.22447408145624587,-0.25838144919179384,-0.11296456648589186,-0.09927599929267282,-0.27781761455597276,0.072869911481879393,-0.16304040478196746,-0.11710871730777957,-0.17443216625001109,0.22818230249142857,-0.08120458535387573,-0.021362489531962587,0.072509341695464094,0.46448433923627713,-0.092549446734356111,-0.12904731218188775,0.13632886455329488,0.41035167136474493,-0.02003381291934047,-0.066219389810185991,0.0061611720027946876,0.084427758078819401,-0.0018201739249634843,-0.17329446004763849,-0.040646782339969163,-0.13157246787980059,-0.095026783315970545,-0.21761512191789978,-0.10786582362311381,-0.16935972853261896,-0.41884052151382339,-0.37497413452300449,-0.31241745958021011,0.22283815644666707,0.13009594656420539,0.063896026693742905,-0.15114448746905162,-0.23389874964180207,0.092907708698840782,0.079632088908750634,0.0055747217104346221,-0.15998446051785892,-0.26059758472755912,-0.27963502678315438,-0.37055595987236511,-0.10675647458029602
Natarajasana_Stability-l,-0.23631163901960175,-0.060101520938110949,0.078356063548297133,-0.021646484310206209,0.097445168998676293,-0.12329012514427415,0.0425303102425258,0.0425303102425258,1.0,-0.23438023226480989,0.50606390947608737,0.29951668762302475,0.2439329607960514,0.28749767062051818,0.32805256795536047,0.19999327386279955,0.36609712389125409,0.50401857955826801,0.14819417295905274,0.15159790615056201,0.32019361746501823,0.093675050182294411,0.43170846846772848,0.097213730135706791,0.054502448448211033,-0.039461780130699814,-0.13888526786105673,0.22935895544740303,0.10380897340837292,-0.079602702041486853,0.10493161404927112,0.35291215163711148,0.26468482269754667,0.37347258228259622,0.084217791568678244,0.15983442350681665,0.02092303741989664,0.26255850409414089,0.3830586577238641,0.17140553886376664,0.36515927207199922,0.19306949450537134,0.18189859505506267,0.21614360501629776,0.268202202727163,0.32449321975788614,0.30925249400546628,-0.1954719079859269,-0.18203649714933887,0.095629034673990948,0.19759115166483507,-0.026102645843611706,-0.045364322952156796,0.31566684201268747,0.042620818971395143,-0.20539851758945618,0.0090100612111619037,0.20539851758945618,-0.0099283146786801699,-0.14636366076270257,-0.013935506970764554,-0.06171563381769922,0.071003048584854386,0.32006386399542325,0.35603507502389203,-0.10830526997618421,-0.094324160281197375,0.55248992864429736,-0.050833071781996066,0.68651311513954927,0.25952071801420062,0.084320951908233202,0.34564789668467499,-0.15442576074673395,-0.14093866188556153,0.052735491149496244,0.37457563185377307,0.3367379274491108,0.37361892620334303,0.33378810775899137,0.28298663930624762,-0.1464320571281639,-0.15859255761790608,-0.12272710433453185,0.10362971605964637,0.33762968772965651,0.48940497518356002,0.36887103902940954,0.46909525732264612,0.25210047162607024,0.19580697469680208,0.11289013912874145,-0.28567890772378651,-0.013267719409555078,0.16000064662575697,0.0022003217562449801,0.042418356570206962,0.083372783088929647,0.023133570136142069,0.012998453288039424,-0.19205605404936235,-0.087290215068864266,-0.19164685991367469,-0.26066819949828796,-0.29268517347167744,-0.24049896930813647,-0.21342218537193147,-0.088456042409904456,0.47910442368148032,0.10768803846816395,0.18568773906604946,0.24909368768560342,0.026752312470123104
Natarajasana_Stability-r,0.063080433266721109,-0.012161429488685396,-0.23393273262954856,0.15004980144130861,-0.093998357344666744,-0.012250990127710686,-0.10394589681617038,-0.10394589681617038,-0.23438023226480989,1.0,-0.32464524901267411,-0.12614711948919891,-0.19472042509181303,-0.27847167579435983,-0.19945328406213259,0.30834777120728063,0.18686080455152823,0.085035874164412967,-0.1268925466612606,0.38528715875693609,0.14638021881133315,0.059586314642415199,-0.47794005114944887,-0.18133300710209665,-0.15633762976868021,0.28262069651891031,-0.27315972113209808,-0.22020914236081249,-0.079410987952140522,0.062413799636353101,-0.23032733939498135,-0.20029231348512494,-0.32937293570887716,-0.17964434371701238,-0.36774235619471135,-0.41182715923411789,-0.11516754556078154,-0.31991457678131724,-0.20232497162796576,-0.069106983400624933,-0.12710813785996802,-0.10014494980476074,0.11065634420133849,-0.10034840597644749,-0.20508308361418559,-0.26076350402182824,-0.24318913660970368,-0.17227052976690224,-0.27827722628649793,0.061489905839399298,-0.015724167146544888,0.052799194782346869,-0.027998190029671834,0.23365963282416197,0.15362661934208649,-0.19619233198659,-0.37692609288110096,0.19619233198659,0.064306708619707637,-0.13198469125810411,-0.19202481927560419,-0.097474181213454178,0.33662804750594949,-0.023972860800510375,-0.050841644318693445,-0.05882409372476969,0.030712254682578564,-0.16337171743572548,-0.086021943686893601,-0.37596012641354654,0.077046549658517052,0.046186439884710252,0.088761945915711293,0.081840516580092726,0.020556854043762948,0.11125121366812435,-0.060402263255898349,-0.11558847027203882,-0.10904968883237717,-0.065747109278907256,-0.06326279348405392,0.15196085857574906,0.17234516638244238,0.12533204366792161,0.053854336476616402,0.14432355968343491,0.24841671687116895,0.13300887990300839,0.11124599308154191,0.1050264717780401,0.047375822039744241,0.16329165868313941,0.19430636103045779,-0.16337931574273071,-0.073088087102787039,-0.076104933940292788,0.15640365410161741,0.12314180453292324,0.11057875321325535,0.20768216769778897,0.17287016967702729,-0.088186444074582537,0.036392217562708794,0.20902933931417575,0.34557215545488246,0.032864503189132553,0.014237484388406808,-0.0093835641842735292,0.015107712320917522,-0.097007558726577708,-0.22765079957272083,-0.031910367490451355,0.054014579850747015
